index,subscribers.sa.,realgdp.aus.,realgdp.america.,realgdp.world.,realgdp.china.,productivity.aus.,flops,tpc,watts,hertz,RGDP,Cons.Food,Cons.CigTob,Cons.Alc,Cons.CloFoo,Cons.RenDwe,Cons.EGF,Cons.FurEqu,Cons.Hea,Cons.PurVeh,Cons.OpeVeh,Cons.TraSer,Cons.Com,Cons.RecCul,Cons.Edu,Cons.HCR,Cons.InsFin,Cons.Other,Cons.Final,BusInv,ResInv,Cap.MacEqu,Cap.BioRes,Cap.IntPro,Exports,Imports,Gov,Gov.Nat,Gov.Nat.Loc,DomSales,IP.Min,IP.Man,IP.EGWWS,IP.Total,IP.FBT,IP.TCO,IP.WPP,IP.PRM,IP.PCCR,IP.NMM,IP.MP,IP.ME,RetSales,Emp.JobVac,LabForce,Emp.HoursFt,Emp.HoursPt,Emp..HoursPer,Emp.FtPer,Emp.PtPer,Emp.TotalPer,Urate.LabForce,Urate.LFT,Urate,Unum.LFT,Unum.LPT,Unum.Total,HSexfinNum,HSexfinVal,HStarts..NSW,HStarts..VIC,HStarts..QLD,HStarts..SA,HStarts..WA,HStarts..TAS,HStarts..NT,HStarts..ACT,HStarts..Total,Hstarts.PDA,InvLevel,InvtoSales,CPI.ALL,HCE.UTF,HCE.MV,HCE.ParAcc,HCE.Fuel,HCE.MaiRep,HCE.OthMot,HCE.Post,HCE.TelEqu,HCE.AVCE,HCE.DTA,HCE.ITA,HCE.Pet,PEXP,PIMP,COMMP,RHDI,TotComp,AveComp,FedFunds,X90.days.Bk.bills,X5.yr.T.bond,X10.yr.T.bond,X10.yr.NSWT.bond,Currency,M1,M3,BM,Mbase,Credit.Per,Credit.Bus,Credit.Total,Credit.Nar,LoaAdv,Ex.rate..JPY,Ex.rate..USD,EX.rate..KRW,Ex.rate..NZD,Ex.rate..CNY,Ex.rate..GBP,Ex.rate..SGD,EX.rate..IDR,Ex.rate..HKD,Ex.rate..MYR,Ex.rate..avg,SP.ASX.AllOrds,pop,gsp,resiprice,totalprice,anndemand,ddays
1,254,36001,45887,9456,4071,39.9,4.90E+12,37180267,0.000465,963512799,-1.764559597,6.072634423,33.99534305,12.55538884,26.45319759,2.374583518,2.531377788,21.42723203,-1.837394136,-29.74554896,-14.70358281,13.67859737,3.852357224,-14.19810232,15.88250104,-0.111270806,4.173405186,3.347299868,1.816838897,-47.44266517,-68.1800403,-24.92504733,-18.17378253,15.82574307,-11.38715306,-12.32986972,-1.899062592,-10.37144154,3.514589566,-17.61143553,1.87646943,1.254574996,-3.238884093,2.002507311,7.176973537,-8.791562688,-1.281025915,-9.9711908,-21.50859781,-43.14295834,33.08485769,-0.506008923,9.71754476,0.4,-1.53876177,-7.472597416,-5.522394617,-7.238390236,-2.496249863,-1.426890993,-2.21411839,-113.000001,0.433333333,0.466666666,11.51809433,0.680354823,8.95190535,7.121684983,5.995979006,35.41348161,20.41424379,14.33398423,-4.367461066,-16.04117616,5.783826106,-38.85801712,20.05478627,17.38799428,31.33273729,12.31901281,0.038,-14.0002401,-23.48336603,8.682727671,18.74953516,-28.6980984,1.611958124,-4.030897122,-11.21844747,-30.63807253,20.75925281,-58.16017278,-4.876408745,9.821303755,-19.01217861,-20.77154427,5.590028468,-10.55746651,5.193551415,7.377068365,0.07,-0.106666667,-0.366666667,-0.296666667,-0.306666667,-1.844968574,-0.953724617,-6.229861344,-4.060722727,5.234204376,35.61415707,-3.343089975,-3.396658844,-3.953283405,-1.698507728,-12.46882965,-26.45109557,5.413171587,-10.30918806,-26.52696265,-20.75660265,-22.58213422,9.130744184,-26.37571379,-26.44861899,-15.27506206,-5.835780477,1494.2185,16751.43064,14.0813098,14.0813098,1.310887134,613.16875
2,280,36266,45878,9554,4400,41.33,7.20E+12,42550655,0.00038,1684000000,4.175155576,0.291438993,-0.514690185,-3.234122727,3.340523021,3.186068461,2.98859326,6.077795121,15.29896571,24.52335301,5.457230647,-5.673853997,2.006357659,6.526877485,9.857865797,-12.40149602,-4.006500628,1.963017884,2.870532357,0.876910532,33.33019044,6.361896213,-13.53281296,8.271165726,-11.96109794,5.559398437,1.049208016,4.998495902,-1.5231721,12.13174407,1.246106927,8.754909155,17.06310572,5.482951892,-9.047235435,-1.109570753,33.37795923,-0.851970503,-8.022146725,95.40193459,25.6050166,-3.596684477,8.930100905,-1.7,1.499555039,0.454248256,-0.380589048,0.344360275,1.223367646,0.827737344,1.114243798,9.333333,-0.166666666,0.066666666,5.413656014,10.53332074,6.687492967,3.56293835,13.24758769,-6.513904628,-6.916985925,4.509835897,4.538212257,-7.757274927,43.97145209,-6.36055805,-16.93946814,-0.34564708,8.541249788,-0.444362201,-0.012,2.658486449,-5.12051457,1.049951192,-3.194968579,25.95140688,0.492001504,-0.009365354,5.780447415,8.166057508,-4.104774282,9.974402693,2.316243112,-0.603716745,4.306167183,1.945702359,-13.11820205,10.89918874,4.655709227,3.086626696,-0.49,-0.55,-0.443333333,-0.246666667,-0.42,13.15396794,1.901139622,7.366045557,5.743483618,35.04824954,-2.422596038,4.618729451,3.448390993,2.569280805,1.237908189,16.98782559,1.382685479,-0.284085913,6.365489394,1.390023029,4.305584017,16.42340518,46.99160099,1.311301134,1.379939065,8.392862946,14.32372854,1500.482,17297.51225,14.38461956,14.38461956,1.370712799,711.8875
3,328,37409,46267,9737,4793,42,3.59E+13,55730604,0.000295,2317000000,3.236882989,0.965631623,0.678397449,-3.819657672,14.5504942,3.395915003,9.637052491,5.005213006,-11.79626196,-2.618667291,-0.252365939,3.007532966,7.502564427,4.571149758,0.240891305,-3.037491704,-2.818898206,6.191644937,1.737539097,24.95353067,10.61727672,57.84787584,-84.89041113,9.689383761,4.82455207,27.98940961,3.312898664,3.48077319,3.221119429,16.06403388,-1.850427356,6.412963012,0.895857037,4.848544213,-4.590556383,4.971693293,-22.51544867,8.82185998,-2.033902687,12.7138966,20.04975487,20.8483909,5.843828576,-5.4,2.695634911,2.358115969,8.775863337,3.230421213,1.853007999,6.814923301,3.266242469,6.666666,0.033333334,0,-6.506623953,-4.252749035,-5.906015905,-8.258128383,6.296364249,-18.2477419,-5.307897466,11.87030713,-16.2902045,-3.757764109,21.65979242,0,37.64834725,-4.532272995,0.891862309,1.803955836,-0.023,-0.016822881,0.55286384,7.763625111,19.69238271,19.31252855,-3.636685928,-1.271940289,-9.639020632,-3.790361449,-7.652633531,-11.82841688,-3.876057821,17.17170368,10.03360334,8.532922147,-3.270109028,1.328114369,3.350920417,-0.888054331,0,-0.096666666,-0.27,-0.13,-0.226666667,-5.557749207,12.47475515,2.2617256,0.607346945,22.44080968,-0.869554518,-8.917178587,-4.500419757,-3.802190489,-0.184599677,13.67039518,8.638188985,8.773239337,-17.13872035,8.648561325,6.181804526,7.058765305,11.631363,8.613429785,8.636936694,6.735910497,-1.725992724,1507.514,18160.46076,15.68012092,15.68012092,1.25727666,243.0625
4,343,37889,47158,9923,5122,42.79,3.59E+13,151247255,0.00021,3088000000,6.532693146,3.529765997,-0.791296005,5.468972135,12.73907909,3.444055717,8.989142341,8.390640533,14.38234172,1.76185867,8.24516465,9.49451196,4.329567224,13.75278147,2.963622186,12.54816643,14.69290145,8.044963915,8.216166005,9.345023943,26.9397943,-8.412737542,16.92095188,7.965359974,13.91963767,16.81362854,2.658690109,0.465657794,4.031729084,15.35807742,-8.847122101,4.332883332,3.21655955,0.976801462,13.256157,1.776793593,0.924143653,20.55736915,21.09451843,-6.349339663,-13.24624351,1.783726479,11.45186793,3.4,1.54489796,2.690211823,3.787803186,2.839817014,3.73698459,-1.168290417,2.335349197,31.333333,-0.099999999,-0.066666667,-17.14170289,5.13054349,-11.32216185,-18.1726031,-12.33229808,-12.16405873,-5.743645009,-18.94756525,-4.187927389,14.71379273,-35.87925736,31.15848333,-35.14775114,-6.073774779,-0.876232464,-1.424068431,-0.029,-0.518811381,-7.033810266,-1.088609882,4.048090797,-3.47879648,0.489586878,-9.004182216,3.142503872,-2.469563557,6.519250251,10.74886406,20.51601246,-1.981882584,21.23883356,22.53225484,-7.344839074,7.351011576,7.122678278,6.003311109,0.236666667,0.433333333,0.53,0.326666667,0.376666667,1.23235611,2.352245894,8.378436701,1.368781412,21.39842216,-2.508044908,15.67762437,5.970361235,6.176813572,10.12000016,12.45015594,39.0261549,47.33510521,4.723076667,39.01665163,12.54446908,32.75147305,39.19980782,38.19346894,39.02809071,26.35882853,12.38507252,1515.983,18540.57724,16.03990899,16.03990899,1.314570631,525.3875
5,413,39031,48493,10364,5595,43.25,7.07E+13,273841963,0.000125,3990000000,2.855261328,0.285272804,13.22364869,10.76414443,3.621423913,3.270127547,3.886114955,3.977870544,8.813644999,3.323325233,4.104567304,-1.566280937,5.881642938,4.449827826,0.170466655,2.214399214,3.141632136,6.815749318,3.829376698,30.99134402,-2.632773561,31.78711238,-30.34241002,8.408970597,6.945805039,13.81432253,2.287001746,2.510218418,2.150799781,14.22929811,0.622568219,-1.577911316,-7.696898489,-0.963855888,2.912129347,-21.86336502,-14.09837562,-4.752531155,-11.90058025,-9.921590946,8.163548652,5.498368362,0.077721046,14.6,3.280892462,5.276863939,4.709481305,5.199275864,4.105935742,6.259755645,4.718108677,43.66666,-0.300000001,-0.366666668,-24.91387489,-16.23259386,-22.39821293,12.88021547,15.78957249,2.102537659,4.833193775,6.415732616,14.53447094,9.187150855,-12.12604938,12.27163911,-13.37300338,8.032095144,-14.28723314,5.185143801,-0.014,1.469608652,6.241233068,12.97750741,-0.510413643,13.92278059,-0.996431753,1.119538651,2.075199884,-0.410827691,4.885297259,-0.477609288,-3.127256786,-9.690757934,15.20655433,15.50458578,-28.81419023,8.689843783,8.681766139,2.557513586,0,-0.023333333,-0.23,-0.226666667,-0.223333333,-5.05225648,4.004585046,0.88467141,3.797189371,5.036789744,4.068348045,-0.871408678,0.071699786,-0.340629587,-0.659774066,8.66642849,34.10713381,0.987682993,2.357860199,34.09708052,17.30541308,19.08674448,30.13184129,32.95523565,34.10406549,17.2719762,35.45877646,1524.294,19352.00392,16.92871966,16.92871966,1.243119543,492.7875
6,407,41158,49655,10975,6338,45.36,2.81E+14,305052789,0.0001062,5173000000,2.96288629,-1.397055964,-11.18894345,-2.255645075,1.84580216,2.877236214,2.449768423,-4.409676223,14.5235054,-3.248528954,-1.652732307,8.610118299,2.66599295,0.941205297,2.531654021,6.984596195,3.493245994,4.107461053,2.154680085,21.09598745,-8.684012136,26.6758281,-10.89985698,9.937449748,8.807365469,10.8888188,5.385446492,2.668455527,7.119388467,8.108290711,5.856619997,-7.897591196,9.009389867,-1.891256478,-1.255888002,-30.57920239,-0.6037737,-3.814742809,-19.28945158,19.96422315,-4.237826573,-11.22151512,2.36834211,-4.9,1.160275072,0.348804296,-0.02343173,0.296687114,0.334770528,2.206340022,0.869583064,-24.33332,0.166666667,0.133333332,9.276820284,0.353982236,6.673426544,21.54928176,22.24731459,5.918141938,20.36848054,11.81840417,0.53140461,16.00600732,-2.998065182,14.0907211,-7.255568877,13.83689527,3.283192168,2.202188113,-0.021,-1.941572286,3.513918642,-3.433448094,2.393344606,-23.10470977,5.706953758,4.984249288,2.556474924,0.386506171,-7.037725713,-14.65509829,-10.27856022,5.877452602,-1.163903468,-3.352007911,-8.455232797,-2.052630752,5.258091218,3.162071803,0,0,0.186666667,0.196666667,0.186666666,-0.846369724,-2.007915837,-0.549842478,-2.279209174,11.94588393,-4.62261024,0.93798862,1.053821897,0.965186955,2.936469765,10.12201333,-8.339946613,-11.08368245,-13.37529405,-9.354085316,-2.124673328,-7.390436894,-16.33746982,-9.061029037,-6.880995714,-4.181951338,10.41676432,1533.4965,19709.82793,16.19844223,16.19844223,1.242151494,412.825
7,453,41311,50490,11511,6937,45.55,2.81E+14,582941535,8.74E-05,5631000000,6.262424786,4.412569884,1.172095959,0.240673894,5.933359718,3.018157841,16.15293498,3.698693746,-15.10599009,4.281638246,7.249788737,15.09613119,6.61661797,11.00671336,2.874783545,5.34146718,15.72120046,2.450517425,5.3097325,7.451965444,10.98251051,-9.360032989,-56.61606889,12.04812284,4.947476057,20.13368552,3.326700318,9.796862449,-0.894032144,8.388323808,1.644964621,10.48094896,4.338437324,7.281202183,-12.58348313,21.38593916,-2.161332931,-3.382684007,36.68132915,-7.604791795,19.97358368,12.86284465,6.358932224,7.2,1.229580006,1.976718946,5.657589158,2.493535927,1.778349908,2.103478796,1.872713954,-64.33334,0.033333334,-0.033333334,-7.099991787,-24.54065208,-12.11558272,-14.83310909,-13.08778384,-5.544666596,-12.55322205,-5.088849862,-16.99260659,-36.6562881,-25.07263019,-69.02322181,11.65602506,-11.37339441,-23.22552027,4.660392209,-0.005,-4.169649206,-7.362933354,-2.2824185,-0.491080959,-19.78826711,1.815301654,-2.191092675,1.507828462,-0.828033091,-4.900157386,5.9346985,7.763859097,0.891907438,3.872613542,3.717695541,-9.384680503,5.848381995,14.49072449,11.84225936,0.233333334,0.196666667,0.016666666,-0.076666666,-0.08,1.377806056,4.995359168,2.205649803,1.154994191,14.82587645,-3.598313037,1.685827422,-1.812605136,-1.705467069,-0.359275336,15.54555724,11.9437692,3.808548414,-13.54236339,6.744338806,0.165214492,3.500631847,10.31371683,11.6690845,3.847419651,6.673773184,33.1465408,1545.6665,19899.32229,15.77782981,15.77782981,1.294278716,548.8
8,441,42278,50902,12101,7482,45.81,4.78E+14,805842188,6.86E-05,6739000000,2.258276194,9.696646816,0.089857352,1.17681756,4.409598691,2.593840957,21.76070858,4.818418754,5.730579848,17.50400809,3.854022774,21.03790262,6.663647682,5.399066959,3.866783868,3.066810764,1.674472288,8.58343562,5.965596282,0.563464546,8.550641155,7.96689225,-15.47044576,12.46812131,-0.375653778,12.37092721,4.000680814,2.300509576,5.100780751,11.39267405,0.539447149,2.667947004,-5.223142767,0.44667788,-4.938334329,-21.7430241,-39.59804872,1.390338557,6.837773344,7.366690714,24.20250304,1.727864458,6.505515881,10,3.077722316,5.737285813,-1.531950403,4.722845736,4.114366466,-0.921339972,2.688855666,8.66666,0.133333333,0.099999999,8.908683433,17.6996994,11.75893403,-4.102600004,-8.941989509,3.365511268,17.53824998,-20.74101483,2.495794664,-19.95094356,17.74524708,-19.40091912,-13.99914651,0.578735981,31.69974876,5.309133305,-0.008,0.880407454,1.77212403,-0.000355328,-1.007309429,70.71763444,-0.032031872,1.957472827,1.456582825,0,-6.427997102,-5.058462644,-4.19205608,-7.610152751,11.45554985,10.84120158,12.79721305,8.007497016,6.348326423,3.115175058,0.25,0.396666667,0.21,0.113333334,0.16,-1.47615711,-6.356113473,5.25545062,4.39248964,0.071407253,-5.662434797,0.543007757,-0.863163562,4.0101544,6.715553547,4.537111874,19.56588845,17.64238733,4.416876234,11.15675251,15.2363984,2.776964608,21.4151857,18.8840114,5.102585111,9.25788673,16.01847603,1561.574,20345.12892,15.56434336,15.56434336,1.352264324,632.6625
9,572,43965,50276,12424,7741,47.62,1.10E+15,1533887254,4.98E-05,8018346926,-3.246171797,2.671560076,-1.374414363,5.774146517,0.861283977,2.640340387,3.84618348,5.89863226,0.575125908,-4.998644999,-17.43018352,-22.45302608,6.423297587,6.418810239,-1.702556401,-12.03454505,-8.722036412,1.665606826,-1.097966474,2.282393383,-6.650428335,-10.6967932,-48.63273083,5.052915864,-2.94901365,-35.48971924,0.878454016,-0.871836341,2.074831417,-3.918361808,2.602481529,-22.10085884,-8.150416029,-10.95958968,-9.086383134,-20.2760996,-41.56928701,-7.896991492,-35.30574119,4.519822102,-27.00080111,-21.42633699,8.439879848,-5.933333333,1.624146463,-4.372141064,9.238885418,-2.463436846,-2.37815086,8.194563308,0.626024439,-9,0.333333334,0.3,28.89399344,12.04044166,23.74926349,27.26640903,26.77612533,15.60172906,5.353068055,27.98985186,26.18319856,-16.02936913,31.54657927,75.10648657,30.39436279,15.22948762,-60.17328113,7.505808134,-0.003,-6.071477926,0.414138416,-3.537042044,-1.466062573,-65.61520871,-1.337694868,-1.025257368,2.907483354,0.808487546,4.703763059,-15.27090827,-3.943094342,16.09953448,-89.44175649,-87.4570186,-10.07017985,26.20446099,1.17050495,-0.183408119,-1.886666666,-2.383333333,-1.626666666,-1.166666667,-1.056666667,16.8026119,-23.81603984,-1.721650444,-0.415959844,65.80521841,-6.442417009,1.236536468,-1.167337581,-1.471588854,0.861156,-153.4718111,-102.4219416,-25.72006908,-19.84371486,-102.9424056,-22.24518221,-82.48924368,-20.28882615,-104.5871275,-81.19515046,-83.73739642,-110.0872705,1579.642,21559.39629,16.05817322,16.05817322,1.384000845,661.6125
10,622,42914,48453,12189,8394,46.51,1.80E+15,2308241527,3.10E-05,9595492706,2.88338048,2.105981355,-2.754199543,-3.847271526,0.187514653,2.910533982,-0.346951188,10.27359801,10.4389666,20.76044015,1.285688382,-0.845964362,1.904117843,1.881249793,5.195824194,16.05577013,-1.91204953,7.138411382,4.07393607,13.10963923,14.45954777,39.83427448,-49.1928468,0.719239855,9.610822265,28.95041019,1.42269867,2.512391019,0.697381095,14.60710257,0.489895958,17.49781959,20.45307277,10.48094896,-5.863979364,14.61186963,28.79964037,25.65657475,15.14008965,11.04025923,9.499672085,47.11321426,6.613947523,-5.933333333,1.531212494,3.694672994,4.233497867,3.774803683,1.373660315,4.066098272,2.176713548,26.66666,-0.266666666,-0.133333334,-13.4679714,2.40722893,-9.311889147,-37.38029161,-24.4087994,-57.92937153,-20.01733629,-51.52984624,-46.7134449,-7.580671696,-24.11204679,-60.48033004,-29.75931604,-36.59971786,24.68649594,-9.076073123,-0.038,-1.729950626,1.264682353,0.379276439,-3.616297861,-10.39900679,-1.680558268,-9.35560746,-7.670849856,0.40180817,-23.63722287,11.20006884,17.4768077,-5.905400682,25.11125645,27.21794549,22.45316897,2.018933028,6.246128545,3.356157549,0.476666667,0.683333333,0,0.016666666,0.016666667,-4.683736164,-5.652566124,-6.100199357,-3.980461925,17.41887321,4.390727394,-4.939240332,-1.33284067,-2.180147539,-2.74641266,16.46117565,27.79284817,11.64775625,5.225193527,27.62795185,24.54119336,17.09648172,10.42603461,27.85989051,16.56983207,19.68728635,22.29309661,1598.7835,21914.44797,16.8961251,16.8961251,1.342096981,518.2
